Tournament,Title,Cluster
ABP 2020,EFL Finals,0
ABP 2020,EFL Semifinals,5
ABP 2020,Grand Final,2
ABP 2020,Semifinals,3
ABP 2020,Quarterfinals,5
ABP 2020,Octofinals,0
ABP 2020,Partial Octofinals,6
ABP 2020,Round 6,9
ABP 2020,Round 5,0
ABP 2020,Round 4,9
ABP 2020,Round 3,0
ABP 2020,Round 2,6
ABP 2020,Round 1,2
ABP 2021,EFL Grand Final,3
ABP 2021,EFL Semi Final,2
ABP 2021,EFL Quarter Final,9
ABP 2021,EFL Pre Quarter Final,0
ABP 2021,Grand Final,8
ABP 2021,Semifinals,2
ABP 2021,Quarterfinals,3
ABP 2021,Octofinals,4
ABP 2021,Double-Octofinals,6
ABP 2021,Round 8,8
ABP 2021,Round 7,7
ABP 2021,Round 6,2
ABP 2021,Round 5,1
ABP 2021,Round 4,0
ABP 2021,Round 3,2
ABP 2021,Round 2,6
ABP 2021,Round 1,8
ABP 2022,EFL Finals,3
ABP 2022,EFL Semifinals,2
ABP 2022,Grand Final,7
ABP 2022,Semifinals,2
ABP 2022,Quarterfinals,4
ABP 2022,Pre Quarterfinals,0
ABP 2022,Round 6,0
ABP 2022,Round 5,2
ABP 2022,Round 4,6
ABP 2022,Round 3,8
ABP 2022,Round 2,7
ABP 2022,Round 1,8
ABP 2024,EFL Finals,8
ABP 2024,EFL Semifinals,4
ABP 2024,Grand Final,8
ABP 2024,Semifinals,6
ABP 2024,Quarterfinals,0
ABP 2024,Pre-Quarterfinals,9
ABP 2024,Round 6,0
ABP 2024,Round 5,7
ABP 2024,Round 4,2
ABP 2024,Round 3,9
ABP 2024,Round 2,0
ABP 2024,Round 1,7
Accra Open 2021,Round 1,0
Accra Open 2021,Round 2,9
Accra Open 2021,Round 3,6
Accra Open 2021,Round 4,4
Accra Open 2021,Round 5,4
Accra Open 2021,Round 6,7
Accra Open 2021,Round 7,8
Accra Open 2021,Semifinals,9
Accra Open 2021,Novice Semifinals,7
Accra Open 2021,Novice Final,6
Accra Open 2021,Grand Final,6
Accra Open 2023,Grand Finals,0
Accra Open 2023,Novice Final,9
Accra Open 2023,Semi- Finals,9
Accra Open 2023,Partial finals,3
Accra Open 2023,Round 7,0
Accra Open 2023,Round 6,7
Accra Open 2023,Round 5,0
Accra Open 2023,Round 4,9
Accra Open 2023,Round 3,6
Accra Open 2023,Round 2,3
Accra Open 2023,Round 1,8
Accra Open 2024,Grand Final,0
Accra Open 2024,Novice Finals,7
Accra Open 2024,Novice Semi Finals,8
Accra Open 2024,Semifinals,8
Accra Open 2024,Partial Semi's,6
Accra Open 2024,Round 7,7
Accra Open 2024,Round 6,2
Accra Open 2024,Round 5,9
Accra Open 2024,Round 4,0
Accra Open 2024,Round 3,3
Accra Open 2024,Round 2,8
Accra Open 2024,Round 1,1
Africa Iron Giant 2022,Grand Final,7
Africa Iron Giant 2022,Semifinals,7
Africa Iron Giant 2022,Round 4,-1
Africa Iron Giant 2022,Round 3,-1
Africa Iron Giant 2022,Round 2,8
Africa Iron Giant 2022,Round 1,0
Amsterdam Open 2024,Grand finals,4
Amsterdam Open 2024,Semi Finals,9
Amsterdam Open 2024,Novice Brake,3
Amsterdam Open 2024,Quarter Finals,0
Amsterdam Open 2024,Round 5,5
Amsterdam Open 2024,Round 4,3
Amsterdam Open 2024,Round 3,6
Amsterdam Open 2024,Round 2,0
Amsterdam Open 2024,Round 1,8
Asia E-Debate 2021,Novice Finals,-1
Asia E-Debate 2021,Novice Semifinals,4
Asia E-Debate 2021,Grand Final,6
Asia E-Debate 2021,Semifinals,4
Asia E-Debate 2021,Quarterfinals,0
Asia E-Debate 2021,Round 4,5
Asia E-Debate 2021,Round 3,7
Asia E-Debate 2021,Round 2,2
Asia E-Debate 2021,Round 1,7
Asia Pro Ams 2020,Grand Final,3
Asia Pro Ams 2020,Semifinals,0
Asia Pro Ams 2020,Round 4,8
Asia Pro Ams 2020,Round 3,5
Asia Pro Ams 2020,Round 2,9
Asia Pro Ams 2020,Round 1,8
Asia Queer Open 2 2020,Pro Am Final,7
Asia Queer Open 2 2020,Grand Final,8
Asia Queer Open 2 2020,Semifinals,7
Asia Queer Open 2 2020,Round 4,9
Asia Queer Open 2 2020,Round 3,0
Asia Queer Open 2 2020,Round 2,7
Asia Queer Open 2 2020,Round 1,2
Asian ODC BP 2022,High School Finals,7
Asian ODC BP 2022,High School Semifinals,5
Asian ODC BP 2022,EFL Finals,8
Asian ODC BP 2022,EFL Semifinals,9
Asian ODC BP 2022,Grand Final,8
Asian ODC BP 2022,Semifinals,9
Asian ODC BP 2022,Quarterfinals,0
Asian ODC BP 2022,Pre-Quarterfinals,2
Asian ODC BP 2022,Round 6,0
Asian ODC BP 2022,Round 5,2
Asian ODC BP 2022,Round 4,8
Asian ODC BP 2022,Round 3,6
Asian ODC BP 2022,Round 2,9
Asian ODC BP 2022,Round 1,2
Asian ODC BP 2023,Highschool Finals,1
Asian ODC BP 2023,Highschool Semifinals,9
Asian ODC BP 2023,EFL Finals,7
Asian ODC BP 2023,EFL Semifinals,9
Asian ODC BP 2023,Grand Final,6
Asian ODC BP 2023,Semifinals,9
Asian ODC BP 2023,Quarterfinals,4
Asian ODC BP 2023,Round 6,0
Asian ODC BP 2023,Round 5,7
Asian ODC BP 2023,Round 4,2
Asian ODC BP 2023,Round 3,7
Asian ODC BP 2023,Round 2,6
Asian ODC BP 2023,Round 1,3
Asian ODC BP 2024,High School Final,4
Asian ODC BP 2024,High School Semi Final,6
Asian ODC BP 2024,Grand Final,8
Asian ODC BP 2024,Semi Final,0
Asian ODC BP 2024,Round 5,4
Asian ODC BP 2024,Round 4,7
Asian ODC BP 2024,Round 3,2
Asian ODC BP 2024,Round 2,1
Asian ODC BP 2024,Round 1,5
Astana Open 2021,Grand Final,8
Astana Open 2021,Semifinals,9
Astana Open 2021,Round 5,0
Astana Open 2021,Round 4,2
Astana Open 2021,Round 3,9
Astana Open 2021,Round 2,4
Astana Open 2021,Round 1,0
Astana Open 2023,Pro-Am Finals,5
Astana Open 2023,ESL Finals,7
Astana Open 2023,ESL Semifinals,2
Astana Open 2023,Grand Final,8
Astana Open 2023,Semifinals,4
Astana Open 2023,Quarterfinals,2
Astana Open 2023,Round 5,3
Astana Open 2023,Round 4,7
Astana Open 2023,Round 3,2
Astana Open 2023,Round 2,5
Astana Open 2023,Round 1,5
Ateneo Intervarsity 2023,Grand Final,8
Ateneo Intervarsity 2023,High School Grand Finals,5
Ateneo Intervarsity 2023,Semifinals,2
Ateneo Intervarsity 2023,Quarterfinals,0
Ateneo Intervarsity 2023,Round 4,9
Ateneo Intervarsity 2023,Round 3,6
Ateneo Intervarsity 2023,Round 2,3
Ateneo Intervarsity 2023,Round 1,1
Ateneo IV Pre-Worlds 2023,Grand Final,8
Ateneo IV Pre-Worlds 2023,Semifinals,9
Ateneo IV Pre-Worlds 2023,Quarterfinals,9
Ateneo IV Pre-Worlds 2023,Round 5,2
Ateneo IV Pre-Worlds 2023,Round 4,0
Ateneo IV Pre-Worlds 2023,Round 3,3
Ateneo IV Pre-Worlds 2023,Round 2,6
Ateneo IV Pre-Worlds 2023,Round 1,5
Athena 2024,Grand Final,-1
Athena 2024,Semifinals,-1
Athena 2024,Pre-Semis,-1
Athena 2024,Round 5,-1
Athena 2024,Round 4,-1
Athena 2024,Round 3,-1
Athena 2024,Round 2,-1
Athena 2024,Round 1,1
Athena 2024,Round 1,0
Athena 2024,Round 2,7
Athena 2024,Round 3,3
Athena 2024,Round 4,1
Athena 2024,Round 5,9
Athena 2024,Novice Semi-Finals,3
Athena 2024,Novice Finals,3
Athena 2024,Pre - Finals,9
Athena 2024,Grand Final,8
