Tournament,TeamName,Speakers
"ABP 2020","Ateneo 1","ignaciovillareal;mikkovitug"
"ABP 2020","Ateneo 2","davidafrica;luigialcaneses"
"ABP 2020","Ateneo 3","javidelmundo;quintinchua"
"ABP 2020","Ateneo 4","alybarranda;beacuizon"
"ABP 2020","Atma 1","crystaltanika;kristaangelica"
"ABP 2020","Atma 2","kennethjanovan;vincentchang"
"ABP 2020","BITS Goa 1","abhijeetanilkumar;redacted"
"ABP 2020","BITS Goa 2","suhasprasanna;yashchaturvedi"
"ABP 2020","BITSP 1","mrdul;saksham"
"ABP 2020","BITSP 2","harshmahajan;jayeesharora"
"ABP 2020","BRAC 1","aliyafairuz;nayaranoor"
"ABP 2020","BRAC 2","redacted;redacted"
"ABP 2020","BUET 1","shirshasongshoptak;tahmeedhossain"
"ABP 2020","BUET 2","abrarmuhit;ishmamtasnim"
"ABP 2020","BUET 3","dhrubokamal;jumanaakhtertanuja"
"ABP 2020","BUET 4","adridas;amanathossainemon"
"ABP 2020","CBS","adittyadhingra;ajatshatrusinghrawat"
"ABP 2020","Christ University 1","pranavrao;ssriram"
"ABP 2020","Christ University 2","nishitsinghal;srinidhi"
"ABP 2020","Christ University 3","ishamahajan;paromaraha"
"ABP 2020","CU 1","syedshahriarrahman;arjontripura"
"ABP 2020","CU 2","moriamjahansayma;hasibkhan"
"ABP 2020","CU 3","muhammadbakhtiar;jannatulnaim"
"ABP 2020","CUHK 1","wilfredwong;jakeyeung"
"ABP 2020","CUHK 2","ooihonson;joshuayeung"
"ABP 2020","CUHK 3","andriusbudiono;matthewling"
"ABP 2020","DC 1","hemantsangwan;mozaientak"
"ABP 2020","DELHI 1","kanikakaur;shubhankarkashyap"
"ABP 2020","DLSU 1","kenalunan;joshuadita"
"ABP 2020","DLSU 2","tonieperalta;kristinebarbosa"
"ABP 2020","DLSU 3","ethanlimkakeng;raphaelestacio"
"ABP 2020","DLSU 4","charlottereyes;vincentco"
"ABP 2020","DU FBS 1","kmnajibhayder;redacted"
"ABP 2020","GLC A","altamashkadir;mallikadandekar"
"ABP 2020","GLC B","rangan;rajdeepmukherjee"
"ABP 2020","GLC H","shakyachandra;shvabhchakarwarti"
"ABP 2020","GLC Q","iragosavi;kevinsanthosh"
"ABP 2020","Habib 1","mahadakbar;hamzafarookhi"
"ABP 2020","Habib 2","ashahadabbasjokhio;hafsakhurram"
"ABP 2020","HRC","snehadas;vanshikasharan"
"ABP 2020","IBA DU 1","mohammedwasifaminkhan;sajidasbatkhandaker"
"ABP 2020","IBA DU 2","syedshadabtajwar;rifayatzafeerwafee"
"ABP 2020","IBA DU 3","ishaquesadat;sadidjubayermurshed"
"ABP 2020","IBA DU 4","redacted;shahjadaaswad"
"ABP 2020","IBA JUDC","nazmussakib;redacted"
"ABP 2020","IITB 1","parshvashah;anangarana"
"ABP 2020","IITB 2","pushkarmohile;jaymallodha"
"ABP 2020","IITB 3","abhishekacharya;sohampurohit"
"ABP 2020","IIUM 1","hanazawawi;irtzasoomro"
"ABP 2020","IIUM 2","shafiazhan;anissufea"
"ABP 2020","IIUM 3","arsyad;bryansim"
"ABP 2020","IIUM 4","iqramsharif;sarrahsalihan"
"ABP 2020","IIUM 5","tasmia;imran"
"ABP 2020","ILNU 1","akshitmishra;subhamkrishnaborah"
"ABP 2020","ILNU 2","aarushsharma;adhirathchoudhary"
"ABP 2020","ILNU 3","ssganesh;priyanshirachchh"
"ABP 2020","ILS 1","bhargavbhamidipati;meenalbhagat"
"ABP 2020","ILS 2","krishnanair;nachiketkulkarni"
"ABP 2020","IUB 1","zobayerahmed;wasiazmainchowdhury"
"ABP 2020","IUB 2","mithisarwar;tazwarbinsaleh"
"ABP 2020","IUB 3","hosenankurandalib;tasminzareen"
"ABP 2020","IUT A","mahdiaakter;nokimulhasanarif"
